name,founded,comment,lat,lon,x,y,start_century
Banská Štiavnica,1251-1300, ,48.458653,18.893035,2103163.036,6183500.386,1200
Lewin Brzeski,1251-1300, ,50.75095855,17.62077615,1961535.828,6577358.843,1200
Krosno Odrza¨½skie,1251-1300, ,52.05503393,15.09723067,1680616.031,6810082.418,1200
Oswiecim,1251-1300, ,50.03222987,19.20173004,2137526.81,6451859.358,1200
Rivoli,1251-1300, ,45.07034096,7.51845799,836950.915,5632602.036,1200
Rathfran,1251-1300, ,54.24858034,-9.226285748,-1027065.431,7217375.709,1200
Lorrha,1251-1300, ,53.09375525,-8.122314656,-904171.9316,7000358.968,1200
New Ross,1251-1300, ,52.39507586,-6.944026768,-773005.5239,6871877.906,1200
San Miniato,1251-1300, ,43.679363,10.85133,1207964.53,5415956.206,1200
Teramo,1251-1300, ,42.66127966,13.69850504,1524910.606,5260556.45,1200
Sighisoara,1251-1300, ,46.237381,24.85416,2766752.435,5818471.638,1200
Kotor,1251-1300, ,42.42499453,18.77136149,2089618.403,5224855.697,1200
Gabel,1251-1300, ,50.76523754,14.7603949,1643119.645,6579871.553,1200
Ungarisch-Brod,1251-1300, ,49.02456889,17.64646394,1964395.38,6279031.249,1200
Gillingham,1251-1300, ,51.03882481,-2.278117392,-253598.868,6628164.258,1200
Marca,1251-1300, ,45.76665839,16.48258235,1834832.674,5743034.589,1200
Seehausen,1251-1300, ,52.89059669,11.7544176,1308495.782,6962786.852,1200
Krossen,1251-1300, ,52.05492855,15.09833129,1680738.551,6810063.34,1200
Strad,1251-1300, ,55.27386608,-7.427814624,-826860.5416,7415200.385,1200
S. Anna,1251-1300,"Georeferenced Add, GHW only: 1250-1303",40.60472815,8.951002153,996421.0018,4954212.822,1200
Vintul-de-Jos,1251-1300,Georeferenced Add,46.55163672,23.66471187,2634343.675,5869194.398,1200
Kecskés,1251-1300,Georeferenced Add,48.37437675,18.84115427,2097387.699,6169365.322,1200
Groningen,1301-1400, ,53.189593,6.873698,765176.5612,7018144.784,1300
Saintes,1301-1400, ,45.743002,-0.617002,-68684.3485,5739260.325,1300
Bagneres,1301-1400, ,43.064998,0.145001,16141.4375,5321870.444,1300
Saint-Girons,1301-1400, ,42.985996,1.147997,127794.4415,5309840.538,1300
Revel,1301-1400, ,43.459999,2.006003,223307.2325,5382252.556,1300
Limoux,1301-1400, ,43.052002,2.212004,246239.1589,5319890.434,1300
Gap,1301-1400, ,44.567998,6.075002,676266.1292,5553766.085,1300
Barcelonnette,1301-1400, ,44.393002,6.642002,739384.2805,5526462.947,1300
Saint-Flour,1301-1400, ,45.037996,3.083996,343308.8643,5627505.164,1300
Vienne,1301-1400, ,45.529,4.881998,543461.5314,5705189.744,1300
Tuy,1301-1400, ,42.046999,-8.641996,-962022.5942,5168022.268,1300
Vivero,1301-1400, ,43.666,-7.584001,-844247.1295,5413899.564,1300
Lugo,1301-1400, ,43.017001,-7.558999,-841463.9196,5314559.931,1300
Penafiel,1301-1400, ,41.604001,-4.118002,-458413.8857,5101844.058,1300
Medina Del Campo,1301-1400, ,41.349004,-4.581997,-510065.5729,5063956.767,1300
Piedrahita,1301-1400, ,40.468003,-5.335999,-594000.6916,4934186.097,1300
Alcañiz,1301-1400, ,41.048998,-0.129004,-14360.6596,5019571.546,1300
Ciudad Real,1301-1400, ,38.977999,-3.927004,-437152.0856,4718520.608,1300
Palma del Rio,1301-1400, ,37.700998,-5.289001,-588768.8981,4537272.542,1300
Jaen,1301-1400, ,37.771,-3.790996,-422011.7443,4547126.111,1300
Alcaraz,1301-1400, ,38.662999,-2.494996,-277741.6843,4673513.391,1300
Balaguer,1301-1400, ,41.797996,0.794999,88498.8839,5130768.09,1300
Manresa,1301-1400, ,41.733997,1.814996,202044.4305,5121216.394,1300
Cervera,1301-1400, ,41.673004,1.272998,141709.4891,5112122.189,1300
Tortosa,1301-1400, ,40.823998,0.497,55325.7869,4986415.967,1300
Vejle,1301-1400, ,55.749481,9.552224,1063348.712,7508705.197,1300
Münster (Westfalen),1301-1400, ,51.955999,7.632002,849590.5764,6792173.416,1300
Dortmund,1301-1400, ,51.514,7.465997,831110.9843,6712722.98,1300
Braunschweig,1301-1400, ,52.270999,10.514,1170413.126,6849274.656,1300
Bamberg,1301-1400, ,49.8926,10.8871,1211946.428,6427696.786,1300
Nevers,1301-1400, ,46.9905,3.166,352437.5079,5940523.568,1300
Rennes,1301-1400, ,48.119004,-1.676997,-186682.4521,6126675.744,1300
Saint-Omer,1301-1400, ,50.749878,2.249878,250455.2733,6577168.727,1300
Pontevedra,1301-1400, ,42.433716,-8.64801,-962692.0696,5226171.042,1300
Trnava,1301-1400, ,48.37636544,17.58829049,1957919.542,6169698.602,1300
Rab,1301-1400, ,44.76359764,14.75812735,1642867.222,5584381.235,1300
Senj,1301-1400, ,44.98921852,14.90787224,1659536.746,5619824.322,1300
Krk,1301-1400, ,45.02616,14.573371,1622300.239,5625640.784,1300
Sanguesa,1301-1400, ,42.57523422,-1.282821104,-142802.9921,5247540.035,1300
